# Rime user dictionary
#@/db_name	wubi86.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	4558
#@/user_id	264d1fbf-0cd3-4191-8dba-a79a7265bcfc
kj 	虽	c=1 d=1 t=5452
kjj 	唱	c=1 d=1 t=4876
kjq 	喝	c=7 d=1.18767 t=2999
kjqd 	虽然	c=3 d=1.9951 t=4784
kkc 	骂	c=2 d=1.00011 t=5562
kkd 	器	c=10 d=1.03803 t=5693
kkdu 	哭	c=4 d=1 t=4926
kkh 	串	c=1 d=1 t=5837
kkkk 	口	c=3 d=1.01036 t=4661
kkrf 	品质	c=1 d=1 t=2282
kksa 	器械	c=3 d=1.98823 t=5298
kkuj 	噪音	c=1 d=1 t=1066
kl 	另	c=1 d=1 t=5353
klj 	别	c=25 d=1.19477 t=5860
km 	员	c=4 d=1.6472 t=6350
kmaa 	员工	c=1 d=1 t=1071
knh 	叫	c=2 d=1.00574 t=5686
knx 	呢	c=31 d=1.38602 t=5276
kov 	喽	c=3 d=2.09744 t=5582
